Collection;Template No.;Item;Item used for 2014 Stress test data;Item used for 2013 Transparency exercise data;Category;Label
TR2015;5.IRB.b;150524;;;Credit Risk;Exposure value - Corporates_Specialised Lending (IRB)
TR2015;5.IRB.b;150525;;;Credit Risk;Exposure value - Retail - by type (IRB)
TR2015;5.IRB.b;150526;;;Credit Risk;Exposure value - Retail - non SME - by type (IRB)
TR2015;5.IRB.b;150531;;;Credit Risk;Risk exposure amount (SA_and_IRB)
TR2015;5.IRB.b;150532;;;Credit Risk;Risk exposure amount - by exposure class (SA_and_IRB)
TR2015;5.IRB.b;150533;;;Credit Risk;Risk exposure amount - SME - by exposure class (SA_and_IRB)
TR2015;5.IRB.b;150534;;;Credit Risk;Risk Exposure amount - Corporates_Specialised Lending (IRB)
TR2015;5.IRB.b;150535;;;Credit Risk;Risk Exposure amount - Retail - by type (IRB)
TR2015;5.IRB.b;150536;;;Credit Risk;Risk Exposure amount - Retail - non SME - by type (IRB)
TR2015;5.IRB.b;150552;;;Credit Risk;Value adjustments and provisions - by exposure class (SA_and_IRB)
TR2015;5.IRB.b;150553;;;Credit Risk;Value adjustments and provisions - SME - by exposure class (SA_and_IRB)
TR2015;5.IRB.b;150554;;;Credit Risk;Value adjustments and provisions - Corporates_Specialised Lending (IRB)
TR2015;5.IRB.b;150555;;;Credit Risk;Value adjustments and provisions - Retail - by type (IRB)
TR2015;5.IRB.b;150556;;;Credit Risk;Value adjustments and provisions - Retail - non SME - by type (IRB)
TR2015;6;150601;;;NPE;Gross carrying amount on DEBT INSTRUMENTS other than HFT
TR2015;6;150602;;;NPE;Gross carrying amount on Debt securities (including at amortised cost  and fair value)
TR2015;6;150603;;;NPE;Gross carrying amount on Loans and advances (including at amortised cost  and fair value)
TR2015;6;150604;;;NPE;Gross carrying amount on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;6;150605;;;NPE;Gross carrying amount on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;6;150606;;;NPE;Gross carrying amount on OFF-BALANCE SHEET EXPOSURES
TR2015;6;150611;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on DEBT INSTRUMENTS other than HFT
TR2015;6;150612;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Debt securities (including at amortised cost  and fair value)
TR2015;6;150613;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Loans and advances (including at amortised cost  and fair value)
TR2015;6;150614;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;6;150615;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;6;150616;;;NPE;Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on OFF-BALANCE SHEET EXPOSURES
TR2015;6;150621;;;NPE;Collaterals and financial guarantees received on non-performing exposures on DEBT INSTRUMENTS other than HFT
TR2015;6;150622;;;NPE;Collaterals and financial guarantees received on non-performing exposures on Debt securities (including at amortised cost  and fair value)
TR2015;6;150623;;;NPE;Collaterals and financial guarantees received on non-performing exposures on Loans and advances (including at amortised cost  and fair value)
TR2015;6;150624;;;NPE;Collaterals and financial guarantees received on non-performing exposures on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;6;150625;;;NPE;Collaterals and financial guarantees received on non-performing exposures on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;6;150626;;;NPE;Collaterals and financial guarantees received on non-performing exposures on OFF-BALANCE SHEET EXPOSURES
TR2015;7;150701;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on DEBT INSTRUMENTS other than HFT
TR2015;7;150702;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on Debt securities (including at amortised cost  and fair value)
TR2015;7;150703;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on Loans and advances (including at amortised cost  and fair value)
TR2015;7;150704;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;7;150705;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;7;150706;;;Forborne exposures;Exposures with forbearance measures - Gross carrying amount on Loan commitments given
TR2015;7;150711;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on DEBT INSTRUMENTS other than HFT
TR2015;7;150712;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Debt securities (including at amortised cost  and fair value)
TR2015;7;150713;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Loans and advances (including at amortised cost  and fair value)
TR2015;7;150714;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;7;150715;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;7;150716;;;Forborne exposures;Exposures with forbearance measures - Accumulated impairment_ accumulated changes in fair value due to credit risk and provisions on Loan commitments given
TR2015;7;150721;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on DEBT INSTRUMENTS other than HFT
TR2015;7;150722;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on Debt securities (including at amortised cost  and fair value)
TR2015;7;150723;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on Loans and advances (including at amortised cost  and fair value)
TR2015;7;150724;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on Debt securities (including at amortised cost  and fair value) - by exposure
TR2015;7;150725;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on Loans and advances (including at amortised cost  and fair value) - by exposure
TR2015;7;150726;;;Forborne exposures;Exposures with forbearance measures - Collateral and financial guarantees received on Loan commitments given
TR2015;8;150801;;;Collaterals (mortgage loans);Mortgage loans collateralized by immovable property - Carrying amount
TR2015;8;150802;;;Collaterals (mortgage loans);Mortgage loans collateralized by immovable property - Carrying amount - by exposure class
TR2015;8;150811;;;Collaterals (mortgage loans);Mortgage loans collateralized by immovable property - Maximum amount of the collateral or guarantee that can be considered
TR2015;8;150812;;;Collaterals (mortgage loans);Mortgage loans collateralized by immovable property - Maximum amount of the collateral or guarantee that can be considered - by exposure class
TR2015;9;150901;993301;300100;Sovereign;GROSS DIRECT LONG EXPOSURES (accounting value gross of provisions)
TR2015;9;150902;993302;300101;Sovereign;GROSS DIRECT LONG EXPOSURES - of which: loans and advances
TR2015;9;150903;993303;300200;Sovereign;NET DIRECT POSITIONS (gross exposures (long) net of cash short positions of sovereign debt to other counterpaties only where there is a maturity matching)
TR2015;9;150904;993304;300201;Sovereign;NET DIRECT POSITIONS - of which: AFS banking book
TR2015;9;150905;993305;300202;Sovereign;NET DIRECT POSITIONS - of which: FVO (designated at fair value through profit&loss) banking book
TR2015;9;150906;993306;300203;Sovereign;NET DIRECT POSITIONS - of which: Financial assets held for trading
TR2015;9;150907;993307;;Sovereign;DIRECT SOVEREIGN EXPOSURES IN DERIVATIVES - Derivatives with positive fair value - Notional value
TR2015;9;150908;993308;;Sovereign;DIRECT SOVEREIGN EXPOSURES IN DERIVATIVES - Derivatives with positive fair value - Fair-value 
TR2015;9;150909;993309;;Sovereign;DIRECT SOVEREIGN EXPOSURES IN DERIVATIVES - Derivatives with negative fair value - Notional value
TR2015;9;150910;993310;;Sovereign;DIRECT SOVEREIGN EXPOSURES IN DERIVATIVES - Derivatives with negative fair value - Fair-value 
TR2015;9;150911;993311;;Sovereign;INDIRECT SOVEREIGN EXPOSURES - Derivatives with positive fair value - Notional value
TR2015;9;150912;993312;;Sovereign;INDIRECT SOVEREIGN EXPOSURES - Derivatives with positive fair value - Fair-value 
TR2015;9;150913;993313;;Sovereign;INDIRECT SOVEREIGN EXPOSURES - Derivatives with negative fair value - Notional value
TR2015;9;150914;993314;;Sovereign;INDIRECT SOVEREIGN EXPOSURES - Derivatives with negative fair value - Fair-value 
TR2015;10;151001;;;Leverage;Tier 1 capital
TR2015;10;151002;;;Leverage;Total leverage ratio exposures
TR2015;10;151003;;;Leverage;Leverage ratio
