Country;Desc_country;SSM;LEI_Code;Name;Finrep;Fin_year_end;TE_20S;LEI_Code_TE20S;TE_19;LEI_Code_TE19;TE_18;LEI_Code_TE18;TR_17;LEI_Code_17;TR_16;LEI_Code_TR16;TR_15;LEI_Code_TR15
BE;Belgium;Yes;LSGM84136ACA92XCN876;AXA Bank Belgium;Yes - IFRS;31/12;Y;LSGM84136ACA92XCN876;Y;LSGM84136ACA92XCN876;Y;LSGM84136ACA92XCN876;Y;LSGM84136ACA92XCN876;Y;LSGM84136ACA92XCN876;Y;LSGM84136ACA92XCN876
BE;Belgium;Yes;MMYX0N4ZEZ13Z4XCG897;The Bank of New York Mellon;Yes - IFRS;31/12;Y;MMYX0N4ZEZ13Z4XCG897;Y;MMYX0N4ZEZ13Z4XCG897;Y;MMYX0N4ZEZ13Z4XCG897;Y;MMYX0N4ZEZ13Z4XCG897;Y;MMYX0N4ZEZ13Z4XCG897;;
BG;Bulgaria;No;549300UY81ESCZJ0GR95;First Investment Bank;Yes - IFRS;31/12;Y;549300UY81ESCZJ0GR95;Y;549300UY81ESCZJ0GR95;Y;549300UY81ESCZJ0GR95;Y;549300UY81ESCZJ0GR95;Y;549300UY81ESCZJ0GR95;;
CY;Cyprus;Yes;253400EBCBBVB9TUHN50;RCB Bank Ltd;No FINREP;31/12;Y;253400EBCBBVB9TUHN50;Y;253400EBCBBVB9TUHN50;Y;253400EBCBBVB9TUHN50;Y;253400EBCBBVB9TUHN50;Y;253400EBCBBVB9TUHN50;;
CY;Cyprus;Yes;635400L14KNHZXPUZM19;Bank of Cyprus Holdings Public Limited Company;Yes - IFRS;31/12;Y;635400L14KNHZXPUZM19;Y;635400L14KNHZXPUZM19;Y;635400L14KNHZXPUZM19;Y;635400L14KNHZXPUZM19;Y;PQ0RAP85KK9Z75ONZW93;Y;PQ0RAP85KK9Z75ONZW93
CY;Cyprus;Yes;CXUHEGU3MADZ2CEV7C11;Hellenic Bank Public Company Ltd;Yes - IFRS;31/12;Y;CXUHEGU3MADZ2CEV7C11;Y;CXUHEGU3MADZ2CEV7C11;Y;CXUHEGU3MADZ2CEV7C11;Y;CXUHEGU3MADZ2CEV7C11;Y;CXUHEGU3MADZ2CEV7C11;Y;CXUHEGU3MADZ2CEV7C11
DE;Germany;Yes;0W2PZJM8XOY22M4GG883;DekaBank Deutsche Girozentrale;Yes - IFRS;31/12;Y;0W2PZJM8XOY22M4GG883;Y;0W2PZJM8XOY22M4GG883;Y;0W2PZJM8XOY22M4GG883;Y;0W2PZJM8XOY22M4GG883;Y;0W2PZJM8XOY22M4GG883;Y;0W2PZJM8XOY22M4GG883
DE;Germany;Yes;391200EEGLNXBBCVKC73;Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG;Yes - GAAP;31/12;Y;391200EEGLNXBBCVKC73;Y;391200EEGLNXBBCVKC73;Y;391200EEGLNXBBCVKC73;Y;391200EEGLNXBBCVKC73;Y;391200EEGLNXBBCVKC73;Y;391200EEGLNXBBCVKC73
DE;Germany;Yes;5299007S3UH5RKUYDA52;Deutsche Apotheker- und Ärztebank EG;No FINREP;31/12;Y;5299007S3UH5RKUYDA52;Y;5299007S3UH5RKUYDA52;Y;5299007S3UH5RKUYDA52;Y;5299007S3UH5RKUYDA52;Y;5299007S3UH5RKUYDA52;Y;5299007S3UH5RKUYDA52
DE;Germany;Yes;529900GJD3OQLRZCKW37;Volkswagen Bank Gesellschaft mit beschränkter Haftung;Yes - IFRS;31/12;Y;529900GJD3OQLRZCKW37;Y;529900GJD3OQLRZCKW37;Y;529900GJD3OQLRZCKW37;;;;;;
DE;Germany;Yes;529900GM944JT8YIRL63;Münchener Hypothekenbank EG;No FINREP;31/12;Y;529900GM944JT8YIRL63;Y;529900GM944JT8YIRL63;Y;529900GM944JT8YIRL63;Y;529900GM944JT8YIRL63;Y;529900GM944JT8YIRL63;Y;529900GM944JT8YIRL63
DE;Germany;Yes;529900HNOAA1KXQJUQ27;DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main;Yes - IFRS;31/12;Y;529900HNOAA1KXQJUQ27;Y;529900HNOAA1KXQJUQ27;Y;529900HNOAA1KXQJUQ27;Y;529900HNOAA1KXQJUQ27;Y;529900HNOAA1KXQJUQ27;Y;529900HNOAA1KXQJUQ27
DE;Germany;Yes;529900JZTYE3W7WQH904;HASPA Finanzholding;Yes - GAAP;31/12;Y;529900JZTYE3W7WQH904;Y;529900JZTYE3W7WQH904;Y;529900JZTYE3W7WQH904;Y;529900JZTYE3W7WQH904;Y;529900JZTYE3W7WQH904;Y;529900JZTYE3W7WQH904
DE;Germany;Yes;529900V3O1M5IHMOSF46;State Street Europe Holdings Germany S.a.r.l. & Co. KG;Yes - GAAP;31/12;Y;529900V3O1M5IHMOSF46;Y;529900V3O1M5IHMOSF46;Y;529900V3O1M5IHMOSF46;Y;529900V3O1M5IHMOSF46;;;;
DE;Germany;Yes;7LTWFZYICNSX8D621K86;Deutsche Bank AG;Yes - IFRS;31/12;Y;7LTWFZYICNSX8D621K86;Y;7LTWFZYICNSX8D621K86;Y;7LTWFZYICNSX8D621K86;Y;7LTWFZYICNSX8D621K86;Y;7LTWFZYICNSX8D621K86;Y;7LTWFZYICNSX8D621K86
DE;Germany;Yes;851WYGNLUQLFZBSYGB56;COMMERZBANK Aktiengesellschaft;Yes - IFRS;31/12;Y;851WYGNLUQLFZBSYGB56;Y;851WYGNLUQLFZBSYGB56;Y;851WYGNLUQLFZBSYGB56;Y;851WYGNLUQLFZBSYGB56;Y;851WYGNLUQLFZBSYGB56;Y;851WYGNLUQLFZBSYGB56
DE;Germany;Yes;B81CK4ESI35472RHJ606;Landesbank Baden-Württemberg;Yes - IFRS;31/12;Y;B81CK4ESI35472RHJ606;Y;B81CK4ESI35472RHJ606;Y;B81CK4ESI35472RHJ606;Y;B81CK4ESI35472RHJ606;Y;B81CK4ESI35472RHJ606;Y;B81CK4ESI35472RHJ606
DE;Germany;Yes;DIZES5CFO5K3I5R58746;Landesbank Hessen-Thüringen Girozentrale;Yes - IFRS;31/12;Y;DIZES5CFO5K3I5R58746;Y;DIZES5CFO5K3I5R58746;Y;DIZES5CFO5K3I5R58746;Y;DIZES5CFO5K3I5R58746;Y;DIZES5CFO5K3I5R58746;Y;DIZES5CFO5K3I5R58746
DE;Germany;Yes;DSNHHQ2B9X5N6OUJ1236;Norddeutsche Landesbank -Girozentrale-;Yes - IFRS;31/12;Y;DSNHHQ2B9X5N6OUJ1236;Y;DSNHHQ2B9X5N6OUJ1236;Y;DSNHHQ2B9X5N6OUJ1236;Y;DSNHHQ2B9X5N6OUJ1236;Y;DSNHHQ2B9X5N6OUJ1236;Y;DSNHHQ2B9X5N6OUJ1236
DE;Germany;Yes;DZZ47B9A52ZJ6LT6VV95;Deutsche Pfandbriefbank AG;Yes - IFRS;31/12;Y;DZZ47B9A52ZJ6LT6VV95;Y;DZZ47B9A52ZJ6LT6VV95;Y;DZZ47B9A52ZJ6LT6VV95;Y;DZZ47B9A52ZJ6LT6VV95;Y;DZZ47B9A52ZJ6LT6VV95;Y;52990082YOVOZIC8QX60
DE;Germany;Yes;EZKODONU5TYHW4PP1R34;Aareal Bank AG;Yes - IFRS;31/12;Y;EZKODONU5TYHW4PP1R34;Y;EZKODONU5TYHW4PP1R34;Y;EZKODONU5TYHW4PP1R34;Y;EZKODONU5TYHW4PP1R34;Y;EZKODONU5TYHW4PP1R34;Y;EZKODONU5TYHW4PP1R34
DE;Germany;Yes;TUKDD90GPC79G1KOE162;Hamburg Commercial Bank AG;Yes - IFRS;31/12;Y;TUKDD90GPC79G1KOE162;Y;TUKDD90GPC79G1KOE162;Y;529900OQ416JMY9LQO42;Y;529900OQ416JMY9LQO42;;;;
DE;Germany;Yes;VDYMYTQGZZ6DU0912C88;Bayerische Landesbank;Yes - IFRS;31/12;Y;VDYMYTQGZZ6DU0912C88;Y;VDYMYTQGZZ6DU0912C88;Y;VDYMYTQGZZ6DU0912C88;Y;VDYMYTQGZZ6DU0912C88;Y;VDYMYTQGZZ6DU0912C88;Y;VDYMYTQGZZ6DU0912C88
DE;Germany;Yes;5299007QVIQ7IO64NX37;UBS Europe SE, Ffm;Yes - IFRS;31/12;;;;;;;;;;;;
DE;Germany;yes;549300ZK53CNGEEI6A29;J.P. Morgan AG, Frankfurt am Main;No FINREP;31/12;;;;;;;;;;;;
DK;Denmark;No;3M5E1GQGKL17HI6CPN30;Jyske Bank A/S;Yes - IFRS;31/12;Y;3M5E1GQGKL17HI6CPN30;Y;3M5E1GQGKL17HI6CPN30;Y;3M5E1GQGKL17HI6CPN30;Y;3M5E1GQGKL17HI6CPN30;Y;3M5E1GQGKL17HI6CPN30;Y;3M5E1GQGKL17HI6CPN30
DK;Denmark;No;GP5DT10VX1QRQUKVBK64;Sydbank A/S;Yes - IFRS;31/12;Y;GP5DT10VX1QRQUKVBK64;Y;GP5DT10VX1QRQUKVBK64;Y;GP5DT10VX1QRQUKVBK64;Y;GP5DT10VX1QRQUKVBK64;Y;GP5DT10VX1QRQUKVBK64;Y;GP5DT10VX1QRQUKVBK64
DK;Denmark;No;LIU16F6VZJSD6UKHD557;Nykredit Realkredit A/S;Yes - IFRS;31/12;Y;LIU16F6VZJSD6UKHD557;Y;LIU16F6VZJSD6UKHD557;Y;LIU16F6VZJSD6UKHD557;Y;LIU16F6VZJSD6UKHD557;Y;LIU16F6VZJSD6UKHD557;Y;LIU16F6VZJSD6UKHD557
DK;Denmark;No;MAES062Z21O4RZ2U7M96;Danske Bank A/S;Yes - IFRS;31/12;Y;MAES062Z21O4RZ2U7M96;Y;MAES062Z21O4RZ2U7M96;Y;MAES062Z21O4RZ2U7M96;Y;MAES062Z21O4RZ2U7M96;Y;MAES062Z21O4RZ2U7M96;Y;MAES062Z21O4RZ2U7M96
EE;Estonia;Yes;529900JG015JC10LED24;AS LHV Group;YES - IFRS;31/12;Y;529900JG015JC10LED24;Y;529900JG015JC10LED24;Y;529900JG015JC10LED24;Y;529900JG015JC10LED24;;;;
ES;Spain;Yes;95980020140005881190;Banco de Crédito Social Cooperativo, S.A.;Yes - IFRS;31/12;Y;95980020140005881190;Y;95980020140005881190;Y;95980020140005881190;Y;95980020140005881190;Y;95980020140005881190;Y;95980020140005881190
ES;Spain;Yes;5493006QMFDDMYWIAM13;Banco Santander, S.A.;Yes - IFRS;31/12;Y;5493006QMFDDMYWIAM13;Y;5493006QMFDDMYWIAM13;Y;5493006QMFDDMYWIAM13;Y;5493006QMFDDMYWIAM13;Y;5493006QMFDDMYWIAM13;Y;5493006QMFDDMYWIAM13
ES;Spain;Yes;5493007SJLLCTM6J6M37;Unicaja Banco, S.A.;Yes - IFRS;31/12;Y;5493007SJLLCTM6J6M37;Y;5493007SJLLCTM6J6M37;Y;5493007SJLLCTM6J6M37;Y;5493007SJLLCTM6J6M37;Y;5493007SJLLCTM6J6M37;Y;5493007SJLLCTM6J6M37
ES;Spain;Yes;549300GT0XFTFHGOIS94;BFA Tenedora de Acciones, S.A.U.;Yes - IFRS;31/12;Y;549300GT0XFTFHGOIS94;Y;549300GT0XFTFHGOIS94;Y;549300GT0XFTFHGOIS94;Y;549300GT0XFTFHGOIS94;Y;549300TJUHHEE8YXKI59;Y;549300TJUHHEE8YXKI59
ES;Spain;Yes;549300OLBL49CW8CT155;Ibercaja Banco, S.A.;Yes - IFRS;31/12;Y;549300OLBL49CW8CT155;Y;549300OLBL49CW8CT155;Y;549300OLBL49CW8CT155;Y;549300OLBL49CW8CT155;Y;549300OLBL49CW8CT155;Y;549300OLBL49CW8CT155
ES;Spain;Yes;549300U4LIZV0REEQQ46;Kutxabank, S.A.;Yes - IFRS;31/12;Y;549300U4LIZV0REEQQ46;Y;549300U4LIZV0REEQQ46;Y;549300U4LIZV0REEQQ46;Y;549300U4LIZV0REEQQ46;Y;549300U4LIZV0REEQQ46;Y;549300U4LIZV0REEQQ46
ES;Spain;Yes;635400XT3V7WHLSFYY25;Liberbank, S.A.;Yes - IFRS;31/12;Y;635400XT3V7WHLSFYY25;Y;635400XT3V7WHLSFYY25;Y;635400XT3V7WHLSFYY25;Y;635400XT3V7WHLSFYY25;Y;635400XT3V7WHLSFYY25;Y;635400XT3V7WHLSFYY25
ES;Spain;Yes;7CUNS533WID6K7DGFI87;CaixaBank, S.A.;Yes - IFRS;31/12;Y;7CUNS533WID6K7DGFI87;Y;7CUNS533WID6K7DGFI87;Y;7CUNS533WID6K7DGFI87;Y;959800DQQUAMV0K08004;Y;959800DQQUAMV0K08004;Y;959800DQQUAMV0K08004
ES;Spain;Yes;54930056IRBXK0Q1FP96;Abanca Corporación Bancaria S.A.;Yes - IFRS;31/12;Y;54930056IRBXK0Q1FP96;Y;9598003BP0LHPHDWV834;Y;9598003BP0LHPHDWV834;Y;9598003BP0LHPHDWV834;Y;9598003BP0LHPHDWV834;Y;95980020140005986047
ES;Spain;Yes;K8MS7FD7N5Z2WQ51AZ71;Banco Bilbao Vizcaya Argentaria, S.A.;Yes - IFRS;31/12;Y;K8MS7FD7N5Z2WQ51AZ71;Y;K8MS7FD7N5Z2WQ51AZ71;Y;K8MS7FD7N5Z2WQ51AZ71;Y;K8MS7FD7N5Z2WQ51AZ71;Y;K8MS7FD7N5Z2WQ51AZ71;Y;K8MS7FD7N5Z2WQ51AZ71
ES;Spain;Yes;SI5RG2M0WQQLZCXKRM20;Banco de Sabadell, S.A.;Yes - IFRS;31/12;Y;SI5RG2M0WQQLZCXKRM20;Y;SI5RG2M0WQQLZCXKRM20;Y;SI5RG2M0WQQLZCXKRM20;Y;SI5RG2M0WQQLZCXKRM20;Y;SI5RG2M0WQQLZCXKRM20;Y;SI5RG2M0WQQLZCXKRM20
ES;Spain;Yes;VWMYAEQSTOPNV0SUGU82;Bankinter, S.A.;Yes - IFRS;31/12;Y;VWMYAEQSTOPNV0SUGU82;Y;VWMYAEQSTOPNV0SUGU82;Y;VWMYAEQSTOPNV0SUGU82;Y;VWMYAEQSTOPNV0SUGU82;Y;VWMYAEQSTOPNV0SUGU82;Y;VWMYAEQSTOPNV0SUGU82
FI;Finland;Yes;529900HEKOENJHPNN480;Kuntarahoitus Oyj;Yes - IFRS;31/12;Y;529900HEKOENJHPNN480;Y;529900HEKOENJHPNN480;Y;529900HEKOENJHPNN480;Y;529900HEKOENJHPNN480;Y;529900HEKOENJHPNN480;;
FI;Finland;Yes;529900ODI3047E2LIV03;Nordea Bank Abp;Yes - IFRS;31/12;Y;529900ODI3047E2LIV03;Y;529900ODI3047E2LIV03;;;;;;;;
FI;Finland;Yes;7437003B5WFBOIEFY714;OP Osuuskunta;Yes - IFRS;31/12;Y;7437003B5WFBOIEFY714;Y;7437003B5WFBOIEFY714;Y;7437003B5WFBOIEFY714;Y;7437003B5WFBOIEFY714;Y;7437003B5WFBOIEFY714;Y;7437003B5WFBOIEFY714
FI;Finland;Yes;7437005892K69S3MW344;Säästöpankkiliitto osk;Yes - IFRS;31/12;Y;7437005892K69S3MW344;Y;7437005892K69S3MW344;;;;;;;;
FR;France;Yes;549300HFEHJOXGE4ZE63;SFIL;Yes - IFRS;31/12;Y;549300HFEHJOXGE4ZE63;Y;549300HFEHJOXGE4ZE63;Y;549300HFEHJOXGE4ZE63;Y;549300HFEHJOXGE4ZE63;Y;549300HFEHJOXGE4ZE63;Y;549300HFEHJOXGE4ZE63
FR;France;Yes;96950001WI712W7PQG45;RCI Banque;Yes - IFRS;31/12;Y;96950001WI712W7PQG45;Y;96950001WI712W7PQG45;Y;96950001WI712W7PQG45;Y;96950001WI712W7PQG45;Y;96950001WI712W7PQG45;Y;96950001WI712W7PQG45
FR;France;Yes;9695000CG7B84NLR5984;Confédération Nationale du Crédit Mutuel;Yes - IFRS;31/12;Y;9695000CG7B84NLR5984;Y;9695000CG7B84NLR5984;Y;9695000CG7B84NLR5984;Y;9695000CG7B84NLR5984;Y;9695000CG7B84NLR5984;Y;9695000CG7B84NLR5984
FR;France;Yes;96950066U5XAAIRCPA78;La Banque Postale;Yes - IFRS;31/12;Y;96950066U5XAAIRCPA78;Y;96950066U5XAAIRCPA78;Y;96950066U5XAAIRCPA78;Y;96950066U5XAAIRCPA78;Y;96950066U5XAAIRCPA78;Y;96950066U5XAAIRCPA78
FR;France;yes;969500FYSB4IT3QWYB65;Bpifrance S.A. (Banque Publique d’Investissement);Yes - IFRS;31/12;;;;;;;;;;;;
FR;France;Yes;969500TVVZM86W7W5I94;C.R.H. - Caisse de refinancement de l'habitat;No FINREP;31/12;Y;969500TVVZM86W7W5I94;Y;969500TVVZM86W7W5I94;Y;969500TVVZM86W7W5I94;Y;969500TVVZM86W7W5I94;Y;969500TVVZM86W7W5I94;Y;969500TVVZM86W7W5I94
FR;France;yes;F0HUI1NY1AZMJMD8LP67;HSBC France;Yes - IFRS;31/12;;;;;;;;;;;;
FR;France;Yes;FR9695005MSX1OYEMGDF;Groupe BPCE;Yes - IFRS;31/12;Y;FR9695005MSX1OYEMGDF;Y;FR9695005MSX1OYEMGDF;Y;FR9695005MSX1OYEMGDF;Y;FR9695005MSX1OYEMGDF;Y;FR9695005MSX1OYEMGDF;Y;9695005MSX1OYEMGDF46
FR;France;Yes;FR969500TJ5KRTCJQWXH;Groupe Crédit Agricole;Yes - IFRS;31/12;Y;FR969500TJ5KRTCJQWXH;Y;FR969500TJ5KRTCJQWXH;Y;FR969500TJ5KRTCJQWXH;Y;FR969500TJ5KRTCJQWXH;Y;FR969500TJ5KRTCJQWXH;Y;969500TJ5KRTCJQWXH05
FR;France;Yes;O2RNE8IBXP4R0TD8PU41;Société générale;Yes - IFRS;31/12;Y;O2RNE8IBXP4R0TD8PU41;Y;O2RNE8IBXP4R0TD8PU41;Y;O2RNE8IBXP4R0TD8PU41;Y;O2RNE8IBXP4R0TD8PU41;Y;O2RNE8IBXP4R0TD8PU41;Y;O2RNE8IBXP4R0TD8PU41
FR;France;Yes;R0MUWSFPU8MPRO8K5P83;BNP Paribas;Yes - IFRS;31/12;Y;R0MUWSFPU8MPRO8K5P83;Y;R0MUWSFPU8MPRO8K5P83;Y;R0MUWSFPU8MPRO8K5P83;Y;R0MUWSFPU8MPRO8K5P83;Y;R0MUWSFPU8MPRO8K5P83;Y;R0MUWSFPU8MPRO8K5P83
FR;France;Yes;R1IO4YJ0O79SMWVCHB58;Banque centrale de compensation;No FINREP;31/12;Y;R1IO4YJ0O79SMWVCHB58;Y;R1IO4YJ0O79SMWVCHB58;Y;R1IO4YJ0O79SMWVCHB58;Y;R1IO4YJ0O79SMWVCHB58;Y;R1IO4YJ0O79SMWVCHB58;;
GR;Greece;Yes;5299009N55YRQC69CN08;Alpha Bank, S.A.;Yes - IFRS;31/12;Y;5299009N55YRQC69CN08;Y;5299009N55YRQC69CN08;Y;5299009N55YRQC69CN08;Y;5299009N55YRQC69CN08;Y;5299009N55YRQC69CN08;;
GR;Greece;Yes;5UMCZOEYKCVFAW8ZLO05;National Bank of Greece, S.A.;Yes - IFRS;31/12;Y;5UMCZOEYKCVFAW8ZLO05;Y;5UMCZOEYKCVFAW8ZLO05;Y;5UMCZOEYKCVFAW8ZLO05;Y;5UMCZOEYKCVFAW8ZLO05;Y;5UMCZOEYKCVFAW8ZLO05;;
GR;Greece;Yes;JEUVK5RWVJEN8W0C9M24;Eurobank Ergasias Services and Holdings S.A.;Yes - IFRS;31/12;Y;JEUVK5RWVJEN8W0C9M24;Y;JEUVK5RWVJEN8W0C9M24;Y;JEUVK5RWVJEN8W0C9M24;Y;JEUVK5RWVJEN8W0C9M24;Y;JEUVK5RWVJEN8W0C9M24;;
GR;Greece;Yes;M6AD1Y1KW32H8THQ6F76;Piraeus Bank, S.A.;Yes - IFRS;31/12;Y;M6AD1Y1KW32H8THQ6F76;Y;M6AD1Y1KW32H8THQ6F76;Y;M6AD1Y1KW32H8THQ6F76;Y;M6AD1Y1KW32H8THQ6F76;Y;M6AD1Y1KW32H8THQ6F76;;
HU;Hungary;No;529900W3MOO00A18X956;OTP Bank Nyrt.;Yes - IFRS;31/12;Y;529900W3MOO00A18X956;Y;529900W3MOO00A18X956;Y;529900W3MOO00A18X956;Y;529900W3MOO00A18X956;Y;529900W3MOO00A18X956;Y;529900W3MOO00A18X956
IE;Ireland;yes;2G5BKIC2CB69PRJH1W31;Barclays Bank Ireland Plc;No FINREP;31/12;;;;;;;;;;;;
IE;Ireland;Yes;549300K7L8YW8M215U46;Citibank Holdings Ireland Limited;YES - IFRS;31/12;Y;549300K7L8YW8M215U46;Y;549300K7L8YW8M215U46;Y;549300K7L8YW8M215U46;Y;549300K7L8YW8M215U46;;;;
IE;Ireland;Yes;635400AKJBGNS5WNQL34;AIB Group plc;Yes - IFRS;31/12;Y;635400AKJBGNS5WNQL34;Y;635400AKJBGNS5WNQL34;Y;635400AKJBGNS5WNQL34;Y;3U8WV1YX2VMUHH7Z1Q21;Y;3U8WV1YX2VMUHH7Z1Q21;Y;3U8WV1YX2VMUHH7Z1Q21
IE;Ireland;Yes;635400C8EK6DRI12LJ39;Bank of Ireland Group plc;Yes - IFRS;31/12;Y;635400C8EK6DRI12LJ39;Y;635400C8EK6DRI12LJ39;Y;635400C8EK6DRI12LJ39;Y;Q2GQA2KF6XJ24W42G291;Y;Q2GQA2KF6XJ24W42G291;Y;Q2GQA2KF6XJ24W42G291
IE;Ireland;yes;635400KQIMALJ4XLAD78;Ulster Bank Ireland Designated Activity Company;No FINREP;31/12;;;;;;;;;;;;
IE;Ireland;yes;EQYXK86SF381Q21S3020;Bank of America Europe Designated Activity Company;No FINREP;31/12;;;;;;;;;;;;
IS;Iceland;No;549300PZMFIQR79Q0T97;Íslandsbanki hf.;Yes - IFRS;31/12;Y;549300PZMFIQR79Q0T97;Y;549300PZMFIQR79Q0T97;Y;549300PZMFIQR79Q0T97;;;;;;
IS;Iceland;No;549300TLZPT6JELDWM92;Landsbankinn hf.;Yes - IFRS;31/12;Y;549300TLZPT6JELDWM92;Y;549300TLZPT6JELDWM92;Y;549300TLZPT6JELDWM92;;;;;;
IS;Iceland;No;RIL4VBPDB0M7Z3KXSF19;Arion banki hf;Yes - IFRS;31/12;Y;RIL4VBPDB0M7Z3KXSF19;Y;RIL4VBPDB0M7Z3KXSF19;Y;RIL4VBPDB0M7Z3KXSF19;;;;;;
IT;Italy;Yes;2W8N8UU78PMDQKZENC08;Intesa Sanpaolo S.p.A.;Yes - IFRS;31/12;Y;2W8N8UU78PMDQKZENC08;Y;2W8N8UU78PMDQKZENC08;Y;2W8N8UU78PMDQKZENC08;Y;2W8N8UU78PMDQKZENC08;Y;2W8N8UU78PMDQKZENC08;Y;2W8N8UU78PMDQKZENC08
IT;Italy;Yes;549300TRUWO2CD2G5692;UniCredit S.p.A.;Yes - IFRS;31/12;Y;549300TRUWO2CD2G5692;Y;549300TRUWO2CD2G5692;Y;549300TRUWO2CD2G5692;Y;549300TRUWO2CD2G5692;Y;549300TRUWO2CD2G5692;Y;549300TRUWO2CD2G5692
IT;Italy;Yes;81560097964CBDAED282;Unione di Banche Italiane S.p.A.;Yes - IFRS;31/12;Y;81560097964CBDAED282;Y;81560097964CBDAED282;Y;81560097964CBDAED282;Y;81560097964CBDAED282;Y;81560097964CBDAED282;Y;81560097964CBDAED282
IT;Italy;Yes;815600AD83B2B6317788;Credito Emiliano Holding S.p.A.;Yes - IFRS;31/12;Y;815600AD83B2B6317788;Y;815600AD83B2B6317788;Y;815600AD83B2B6317788;Y;815600AD83B2B6317788;Y;815600AD83B2B6317788;Y;815600AD83B2B6317788
IT;Italy;Yes;815600E4E6DCD2D25E30;Banco BPM S.p.A.;Yes - IFRS;31/12;Y;815600E4E6DCD2D25E30;Y;815600E4E6DCD2D25E30;Y;815600E4E6DCD2D25E30;Y;815600E4E6DCD2D25E30;;;;
IT;Italy;Yes;J48C8PCSJVUBR8KCW529;Banca Popolare di Sondrio, Società Cooperativa per Azioni;Yes - IFRS;31/12;Y;J48C8PCSJVUBR8KCW529;Y;J48C8PCSJVUBR8KCW529;Y;J48C8PCSJVUBR8KCW529;Y;J48C8PCSJVUBR8KCW529;Y;J48C8PCSJVUBR8KCW529;Y;J48C8PCSJVUBR8KCW529
