Dataset;Category;DERIVED_TEMPLATE;Item;Item_TR_2020S;Item_TR_2019;Item_TR_2018;Item_TR_2017;Item_TR_2016;Item_TR_2015;Item_TR_2014;Label
tr_oth;Capital;Capital;2020121;2020121;1920121;1820121;1720121;1620121;150121;993425;(-) Amount exceding the 17.65% threshold
tr_oth;Capital;Capital;2020122;2020122;1920122;1820122;1720122;1620122;;;(-) Additional deductions of CET1 Capital due to Article 3 CRR
tr_oth;Capital;Capital;2020123;2020123;1920123;1820123;1720123;1620123;150122;;CET1 capital elements or deductions - other
tr_oth;Capital;Capital;2020124;2020124;1920124;1820124;1720124;1620124;150123;993426;Transitional adjustments
tr_oth;Capital;Capital;2020125;2020125;1920125;1820125;1720125;1620125;150124;993427;Transitional adjustments due to grandfathered CET1 Capital instruments (+/-)
tr_oth;Capital;Capital;2020126;2020126;1920126;1820126;1720126;1620126;150125;993428;Transitional adjustments due to additional minority interests (+/-)
tr_oth;Capital;Capital;2020127;2020127;1920127;1820127;1720127;1620127;150126;993429;Other transitional adjustments to CET1 Capital (+/-)
tr_oth;Capital;Capital;2020128;2020128;1920128;1820128;1720128;1620128;150127;993430;ADDITIONAL TIER 1 CAPITAL (net of deductions and after transitional adjustments)
tr_oth;Capital;Capital;2020129;2020129;1920129;1820129;1720129;1620129;150128;;Additional Tier 1 Capital instruments
tr_oth;Capital;Capital;2020130;2020130;1920130;1820130;1720130;1620130;;;(-) Excess deduction from T2 items over T2 capital
tr_oth;Capital;Capital;2020131;2020131;1920131;1820131;1720131;1620131;150129;;Other Additional Tier 1 Capital components and deductions
tr_oth;Capital;Capital;2020132;2020132;1920132;1820132;1720132;1620132;;;Additional Tier 1 transitional adjustments
tr_oth;Capital;Capital;2020133;2020133;1920133;1820133;1720133;1620133;150130;993432;TIER 1 CAPITAL (net of deductions and after transitional adjustments)
tr_oth;Capital;Capital;2020134;2020134;1920134;1820134;1720134;1620134;150131;993433;TIER 2 CAPITAL (net of deductions and after transitional adjustments)
tr_oth;Capital;Capital;2020135;2020135;1920135;1820135;1720135;1620135;150132;;Tier 2 Capital instruments
tr_oth;Capital;Capital;2020136;2020136;1920136;1820136;1720136;1620136;150133;;Other Tier 2 Capital components and deductions
tr_oth;Capital;Capital;2020137;2020137;1920137;1820137;1720137;1620137;;;Tier 2 transitional adjustments
tr_oth;Capital;Capital;2020138;2020138;1920138;1820138;1720138;1620138;150134;993434;TOTAL RISK EXPOSURE AMOUNT
tr_oth;Capital;Capital;2020139;2020139;1920139;1820139;1720139;1620139;;; TOTAL RISK EXPOSURE AMOUNT - Of which: Transitional adjustments included
tr_oth;Capital;Capital;2020140;2020140;1920140;1820140;1720140;1620140;150135;993441;COMMON EQUITY TIER 1 CAPITAL RATIO (transitional period)
tr_oth;Capital;Capital;2020141;2020141;1920141;1820141;1720141;1620141;150136;993442;TIER 1 CAPITAL RATIO (transitional period)
tr_oth;Capital;Capital;2020142;2020142;1920142;1820142;1720142;1620142;150137;993443;TOTAL CAPITAL RATIO (transitional period)
tr_oth;Capital;Capital;2020143;2020143;1920143;1820143;1720143;1620143;;;COMMON EQUITY TIER 1 CAPITAL (fully loaded)
tr_oth;Capital;Capital;2020146;2020146;1920146;1820146;1720146;1620146;;993448;COMMON EQUITY TIER 1 CAPITAL RATIO (fully loaded)
tr_oth;Capital;Capital;2020147;2020147;1920147;1820147;;;;;   Adjustments to CET1 due to IFRS 9 transitional arrangements
tr_oth;Capital;Capital;2020148;2020148;1920148;1820148;;;;;   Adjustments to AT1 due to IFRS 9 transitional arrangements
tr_oth;Capital;Capital;2020149;2020149;1920149;1820149;;;;;   Adjustments to T2 due to IFRS 9 transitional arrangements
tr_oth;Capital;Capital;2020150;2020150;1920150;1820150;;;;;   Adjustments included in RWAs due to IFRS 9 transitional arrangements
tr_oth;RWA;RWA OV1;2020201;2020201;1920201;;;;;;Credit risk (excluding CCR and Securitisations)
tr_oth;RWA;RWA OV1;2020202;2020202;1920202;;;;;;Credit risk (excluding CCR and Securitisations): Of which the standardised approach
tr_oth;RWA;RWA OV1;2020203;2020203;1920203;;;;;;Credit risk (excluding CCR and Securitisations): Of which the foundation IRB (FIRB) approach
tr_oth;RWA;RWA OV1;2020204;2020204;1920204;;;;;;Credit risk (excluding CCR and Securitisations): Of which the advanced IRB (AIRB) approach
tr_oth;RWA;RWA OV1;2020205;2020205;1920205;;;;;;Credit risk (excluding CCR and Securitisations): Of which equity IRB
tr_oth;RWA;RWA OV1;2020206;2020206;1920206;;;;;;Counterparty credit risk (CCR, excluding CVA)
tr_oth;RWA;RWA OV1;2020207;2020207;1920207;1820207;1720207;1620207;150207;;Credit valuation adjustment - CVA
tr_oth;RWA;RWA OV1;2020208;2020208;1920208;;;;;;Settlement risk
tr_oth;RWA;RWA OV1;2020209;2020209;1920209;1820202;1720202;1620202;150202;;Securitisation exposures in the banking book (after the cap)
tr_oth;RWA;RWA OV1;2020210;2020210;1920210;1820205;1720205;1620205;150205;;Position, foreign exchange and commodities risks (Market risk)
tr_oth;RWA;RWA OV1;2020211;2020211;1920211;;;;;;Position, foreign exchange and commodities risks (Market risk): Of which the standardised approach
tr_oth;RWA;RWA OV1;2020212;2020212;1920212;;;;;;Position, foreign exchange and commodities risks (Market risk): Of which IMA
tr_oth;RWA;RWA OV1;2020213;2020213;1920213;1820206;1720206;1620206;150206;;Of which securitisations and resecuritisations in the trading book
tr_oth;RWA;RWA OV1;2020214;2020214;1920214;;;;;;Large exposures in the trading book
tr_oth;RWA;RWA OV1;2020215;2020215;1920215;1820208;1720208;1620208;150208;;Operational risk
tr_oth;RWA;RWA OV1;2020216;2020216;1920216;;;;;;Operational risk : Of which basic indicator approach
tr_oth;RWA;RWA OV1;2020217;2020217;1920217;;;;;;Operational risk : Of which standardised approach
tr_oth;RWA;RWA OV1;2020218;2020218;1920218;;;;;;Operational risk : Of which advanced measurement approach
tr_oth;RWA;RWA OV1;2020219;2020219;1920219;;;;;;Other risk exposure amounts
tr_oth;RWA;RWA OV1;2020220;2020220;1920220;1820210;1720210;1620210;150210;;Total Risk exposure amount
tr_oth;P&L;P&L;2020301;2020301;1920301;1820301;1720301;1620301;150301;;Interest income
tr_oth;P&L;P&L;2020302;2020302;1920302;1820302;1720302;1620302;150302;;Interest income - Of which debt securities income
tr_oth;P&L;P&L;2020303;2020303;1920303;1820303;1720303;1620303;150303;;Interest income - Of which loans and advances income
tr_oth;P&L;P&L;2020304;2020304;1920304;1820304;1720304;1620304;150304;;Interest expenses
tr_oth;P&L;P&L;2020305;2020305;1920305;1820305;1720305;1620305;150305;;Interest expenses - (Of which deposits expenses)
tr_oth;P&L;P&L;2020306;2020306;1920306;1820306;1720306;1620306;150306;;Interest expenses - (Of which debt securities issued expenses)
tr_oth;P&L;P&L;2020307;2020307;1920307;1820307;1720307;1620307;150307;;Expenses on share capital repayable on demand
tr_oth;P&L;P&L;2020308;2020308;1920308;1820308;1720308;1620308;150308;;Dividend income
tr_oth;P&L;P&L;2020309;2020309;1920309;1820309;1720309;1620309;150309;;Net Fee and commission income
tr_oth;P&L;P&L;2020310;2020310;1920310;1820310;1720310;1620310;150310;;Gains or (-) losses on derecognition of financial assets and liabilities not measured at fair value through profit or loss_ and of non financial assets_ net
tr_oth;P&L;P&L;2020311;2020311;1920311;1820311;1720311;1620311;150311;;Gains or (-) losses on financial assets and liabilities held for trading_ net
tr_oth;P&L;P&L;2020312;2020312;1920312;1820312;1720312;1620312;150312;;Gains or (-) losses on financial assets and liabilities designated at fair value through profit or loss_ net
tr_oth;P&L;P&L;2020313;2020313;1920313;1820313;1720313;1620313;150313;;Gains or (-) losses from hedge accounting_ net
tr_oth;P&L;P&L;2020314;2020314;1920314;1820314;1720314;1620314;150314;;Exchange differences [gain or (-) loss]_ net
tr_oth;P&L;P&L;2020315;2020315;1920315;1820315;1720315;1620315;150315;;Net other operating income /(expenses)
tr_oth;P&L;P&L;2020316;2020316;1920316;1820316;1720316;1620316;150316;;TOTAL OPERATING INCOME_ NET
tr_oth;P&L;P&L;2020317;2020317;1920317;1820317;1720317;1620317;150317;;(Administrative expenses)
tr_oth;P&L;P&L;2020318;2020318;1920318;1820318;1720318;1620318;150318;;(Depreciation)
tr_oth;P&L;P&L;2020319;2020319;1920319;1820319;1720319;1620319;150319;;(Provisions or (-) reversal of provisions)
tr_oth;P&L;P&L;2020320;2020320;1920320;1820320;1720320;1620320;150320;;(Provisions or (-) reversal of provisions) - (Commitments and guarantees given)
tr_oth;P&L;P&L;2020321;2020321;1920321;1820321;1720321;1620321;150321;;(Provisions or (-) reversal of provisions) - (Other provisions)
tr_oth;P&L;P&L;2020322;2020322;1920322;1820322;1720322;1620322;150322;;(Other provisions) - Of which pending legal issues and tax litigation
tr_oth;P&L;P&L;2020323;2020323;1920323;1820323;1720323;1620323;150323;;(Other provisions) - Of which restructuring
tr_oth;P&L;P&L;2020324;2020324;1920324;1820324;1720324;1620324;150324;;(Impairment or (-) reversal of impairment on financial assets not measured at fair value through profit or loss)
tr_oth;P&L;P&L;2020325;2020325;1920325;1820325;;;;;(Financial assets at fair value through other comprehensive income)
tr_oth;P&L;P&L;2020326;2020326;1920326;1820326;;;;;(Financial assets at amortised cost)
tr_oth;P&L;P&L;2020327;2020327;1920327;1820327;1720327;1620327;150327;;(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets)
tr_oth;P&L;P&L;2020328;2020328;1920328;1820328;1720328;1620328;150328;;(Impairment or (-) reversal of impairment of investments in subsidaries_ joint ventures and associates and on non-financial assets) - (of which Goodwill)
tr_oth;P&L;P&L;2020329;2020329;1920329;1820329;1720329;1620329;150329;;Negative goodwill recognised in profit or loss
tr_oth;P&L;P&L;2020330;2020330;1920330;1820330;1720330;1620330;150330;;Share of the profit or (-) loss of investments in subsidaries_ joint ventures and associates
tr_oth;P&L;P&L;2020331;2020331;1920331;1820331;1720331;1620331;150331;;Profit or (-) loss from non-current assets and disposal groups classified as held for sale not qualifying as discontinued operations
tr_oth;P&L;P&L;2020332;2020332;1920332;1820332;1720332;1620332;150332;;PROFIT OR (-) LOSS BEFORE TAX FROM CONTINUING OPERATIONS
tr_oth;P&L;P&L;2020333;2020333;1920333;1820333;1720333;1620333;150333;;PROFIT OR (-) LOSS AFTER TAX FROM CONTINUING OPERATIONS
tr_oth;P&L;P&L;2020334;2020334;1920334;1820334;1720334;1620334;150334;;Profit  or (-) loss after tax from discontinued operations
tr_oth;P&L;P&L;2020335;2020335;1920335;1820335;1720335;1620335;150335;;PROFIT OR (-) LOSS FOR THE YEAR
tr_oth;P&L;P&L;2020336;2020336;1920336;1820336;1720336;1620336;150336;;PROFIT OR (-) LOSS FOR THE YEAR - Of which attributable to owners of the parent
tr_oth;P&L;P&L;2020337;2020337;1920337;1820337;;;;;(Increases or (-) decreases of the fund for general banking risks, net)
tr_oth;P&L;P&L;2020338;2020338;1920338;1820338;;;;;Modification gains or (-) losses, net
tr_oth;P&L;P&L;2020339;;;;;;;;(Cash contributions to resolution funds and deposit guarantee schemes)
tr_oth;P&L;P&L;2020340;;;;;;;;(Provisions or (-) reversal of provisions) - (payment commitments to resolution funds and deposit guarantee schemes)
tr_mrk;Market Risk;Market Risk;2020401;2020401;1920401;1820401;1720401;1620401;150401;;TOTAL RISK EXPOSURE AMOUNT
tr_mrk;Market Risk;Market Risk;2020402;2020402;1920402;1820402;1720402;1620402;150402;;TOTAL RISK EXPOSURE AMOUNT - by Product
tr_mrk;Market Risk;Market Risk;2020403;2020403;1920403;1820403;1720403;1620403;150403;;TOTAL RISK EXPOSURE AMOUNT - Traded Debt Instruments - by Risk
tr_mrk;Market Risk;Market Risk;2020404;2020404;1920404;1820404;1720404;1620404;150404;;TOTAL RISK EXPOSURE AMOUNT - Equities - by Risk
tr_mrk;Market Risk;Market Risk;2020411;2020411;1920411;1820411;1720411;1620411;150411;;VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg)
tr_mrk;Market Risk;Market Risk;2020412;2020412;1920412;1820412;1720412;1620412;150412;;VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - by Product
tr_mrk;Market Risk;Market Risk;2020413;2020413;1920413;1820413;1720413;1620413;150413;;VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Traded Debt Instruments - by Risk
tr_mrk;Market Risk;Market Risk;2020414;2020414;1920414;1820414;1720414;1620414;150414;;VAR - MULTIPLICATION FACTOR (mc) x AVERAGE OF PREVIOUS 60 WORKING DAYS (VaRavg) - Equities - by Risk
tr_mrk;Market Risk;Market Risk;2020421;2020421;1920421;1820421;1720421;1620421;150421;;VAR - PREVIOUS DAY (VaRt-1)
tr_mrk;Market Risk;Market Risk;2020422;2020422;1920422;1820422;1720422;1620422;150422;;VAR - PREVIOUS DAY (VaRt-1) - by Product
tr_mrk;Market Risk;Market Risk;2020423;2020423;1920423;1820423;1720423;1620423;150423;;VAR - PREVIOUS DAY (VaRt-1) - Traded Debt Instruments - by Risk
tr_mrk;Market Risk;Market Risk;2020424;2020424;1920424;1820424;1720424;1620424;150424;;VAR - PREVIOUS DAY (VaRt-1) - Equities - by Risk
tr_mrk;Market Risk;Market Risk;2020431;2020431;1920431;1820431;1720431;1620431;150431;;SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg)
tr_mrk;Market Risk;Market Risk;2020432;2020432;1920432;1820432;1720432;1620432;150432;;SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - by Product
tr_mrk;Market Risk;Market Risk;2020433;2020433;1920433;1820433;1720433;1620433;150433;;SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Traded Debt Instruments - by Risk
tr_mrk;Market Risk;Market Risk;2020434;2020434;1920434;1820434;1720434;1620434;150434;;SVAR - MULTIPLICATION FACTOR (ms) x AVERAGE OF PREVIOUS 60 WORKING DAYS (SVaRavg) - Equities - by Risk
tr_mrk;Market Risk;Market Risk;2020441;2020441;1920441;1820441;1720441;1620441;150441;;SVAR - LATEST AVAILABLE (SVaRt-1)
tr_mrk;Market Risk;Market Risk;2020442;2020442;1920442;1820442;1720442;1620442;150442;;SVAR - LATEST AVAILABLE (SVaRt-1) - by Product
tr_mrk;Market Risk;Market Risk;2020443;2020443;1920443;1820443;1720443;1620443;150443;;SVAR - LATEST AVAILABLE (SVaRt-1) - Traded Debt Instruments - by Risk
tr_mrk;Market Risk;Market Risk;2020444;2020444;1920444;1820444;1720444;1620444;150444;;SVAR - LATEST AVAILABLE (SVaRt-1) - Equities - by Risk
tr_mrk;Market Risk;Market Risk;2020451;2020451;1920451;1820451;1720451;1620451;150451;;INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - 12 WEEKS AVERAGE MEASURE
tr_mrk;Market Risk;Market Risk;2020461;2020461;1920461;1820461;1720461;1620461;150461;;INCREMENTAL DEFAULT AND MIGRATION RISK CAPITAL CHARGE - LAST MEASURE
tr_mrk;Market Risk;Market Risk;2020471;2020471;1920471;1820471;1720471;1620471;150471;;ALL PRICE RISKS CAPITAL CHARGE FOR CTP - FLOOR
tr_mrk;Market Risk;Market Risk;2020481;2020481;1920481;1820481;1720481;1620481;150481;;ALL PRICE RISKS CAPITAL CHARGE FOR CTP - 12 WEEKS AVERAGE MEASURE
tr_mrk;Market Risk;Market Risk;2020491;2020491;1920491;1820491;1720491;1620491;150491;;ALL PRICE RISKS CAPITAL CHARGE FOR CTP - LAST MEASURE
tr_cre;Credit Risk;Credit Risk_STA_a;2020501;2020501;1920501;1820501;1720501;1620501;150501;;Original Exposure (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020501;2020501;1920501;1820501;1720501;1620501;150501;;Original Exposure (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020502;2020502;1920502;1820502;1720502;1620502;150502;;Original Exposure - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020502;2020502;1920502;1820502;1720502;1620502;150502;;Original Exposure - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020502;2020502;1920502;1820502;1720502;1620502;150502;;Original Exposure - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020502;2020502;1920502;1820502;1720502;1620502;150502;;Original Exposure - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020503;2020503;1920503;1820503;1720503;1620503;150503;;Original Exposure - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020503;2020503;1920503;1820503;1720503;1620503;150503;;Original Exposure - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020503;2020503;1920503;1820503;1720503;1620503;150503;;Original Exposure - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020503;2020503;1920503;1820503;1720503;1620503;150503;;Original Exposure - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020504;2020504;1920504;1820504;1720504;1620504;150504;;Original Exposure - Corporates - Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020504;2020504;1920504;1820504;1720504;1620504;150504;;Original Exposure - Corporates - Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020505;2020505;1920505;1820505;1720505;1620505;150505;;Original Exposure - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020505;2020505;1920505;1820505;1720505;1620505;150505;;Original Exposure - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020506;2020506;1920506;1820506;1720506;1620506;150506;;Original Exposure - Retail_non SME - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020506;2020506;1920506;1820506;1720506;1620506;150506;;Original Exposure - Retail_non SME - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020512;2020512;1920512;1820512;1720512;1620512;150512;;Original Exposure - of which_DEFAULTED - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020512;2020512;1920512;1820512;1720512;1620512;150512;;Original Exposure - of which_DEFAULTED - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020513;2020513;1920513;1820513;1720513;1620513;150513;;Original Exposure - SME_of which_DEFAULTED - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020513;2020513;1920513;1820513;1720513;1620513;150513;;Original Exposure - SME_of which_DEFAULTED - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020514;2020514;1920514;1820514;1720514;1620514;150514;;Original Exposure - Corporates_Specialised Lending - of which_DEFAULTED (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020514;2020514;1920514;1820514;1720514;1620514;150514;;Original Exposure - Corporates_Specialised Lending - of which_DEFAULTED (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020515;2020515;1920515;1820515;1720515;1620515;150515;;Original Exposure - Retail of which_DEFAULTED - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020515;2020515;1920515;1820515;1720515;1620515;150515;;Original Exposure - Retail of which_DEFAULTED - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020516;2020516;1920516;1820516;1720516;1620516;150516;;Original Exposure - Retail - non SME - of which_DEFAULTED - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020516;2020516;1920516;1820516;1720516;1620516;150516;;Original Exposure - Retail - non SME - of which_DEFAULTED - by type (IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020521;2020521;1920521;1820521;1720521;1620521;150521;;Exposure value (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020521;2020521;1920521;1820521;1720521;1620521;150521;;Exposure value (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020522;2020522;1920522;1820522;1720522;1620522;150522;;Exposure value - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020522;2020522;1920522;1820522;1720522;1620522;150522;;Exposure value - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020522;2020522;1920522;1820522;1720522;1620522;150522;;Exposure value - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020522;2020522;1920522;1820522;1720522;1620522;150522;;Exposure value - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020523;2020523;1920523;1820523;1720523;1620523;150523;;Exposure value - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020523;2020523;1920523;1820523;1720523;1620523;150523;;Exposure value - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020523;2020523;1920523;1820523;1720523;1620523;150523;;Exposure value - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020523;2020523;1920523;1820523;1720523;1620523;150523;;Exposure value - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020524;2020524;1920524;1820524;1720524;1620524;150524;;Exposure value - Corporates_Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020524;2020524;1920524;1820524;1720524;1620524;150524;;Exposure value - Corporates_Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020525;2020525;1920525;1820525;1720525;1620525;150525;;Exposure value - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020525;2020525;1920525;1820525;1720525;1620525;150525;;Exposure value - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020526;2020526;1920526;1820526;1720526;1620526;150526;;Exposure value - Retail - non SME - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020526;2020526;1920526;1820526;1720526;1620526;150526;;Exposure value - Retail - non SME - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020531;2020531;1920531;1820531;1720531;1620531;150531;;Risk exposure amount (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020531;2020531;1920531;1820531;1720531;1620531;150531;;Risk exposure amount (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020531;2020531;1920531;1820531;1720531;1620531;150531;;Risk exposure amount (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020531;2020531;1920531;1820531;1720531;1620531;150531;;Risk exposure amount (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020532;2020532;1920532;1820532;1720532;1620532;150532;;Risk exposure amount - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020532;2020532;1920532;1820532;1720532;1620532;150532;;Risk exposure amount - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020532;2020532;1920532;1820532;1720532;1620532;150532;;Risk exposure amount - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020532;2020532;1920532;1820532;1720532;1620532;150532;;Risk exposure amount - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020533;2020533;1920533;1820533;1720533;1620533;150533;;Risk exposure amount - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020533;2020533;1920533;1820533;1720533;1620533;150533;;Risk exposure amount - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_a;2020533;2020533;1920533;1820533;1720533;1620533;150533;;Risk exposure amount - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_STA_b;2020533;2020533;1920533;1820533;1720533;1620533;150533;;Risk exposure amount - SME - by exposure class (SA_and_IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020534;2020534;1920534;1820534;1720534;1620534;150534;;Risk Exposure amount - Corporates_Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020534;2020534;1920534;1820534;1720534;1620534;150534;;Risk Exposure amount - Corporates_Specialised Lending (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020535;2020535;1920535;1820535;1720535;1620535;150535;;Risk Exposure amount - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_b;2020535;2020535;1920535;1820535;1720535;1620535;150535;;Risk Exposure amount - Retail - by type (IRB)
tr_cre;Credit Risk;Credit Risk_IRB_a;2020536;2020536;1920536;1820536;1720536;1620536;150536;;Risk Exposure amount - Retail - non SME - by type (IRB)
